source_folder,source_file,CHI2NU,ID_1,Field_ID,XC_R,e_XC_R,YC_R,e_YC_R,RE_R,e_RE_R,MAG_R,e_MAG_R,n_R,e_n_R,AR_R,e_AR_R,PA_R,e_PA_R,XC_J0378,e_XC_J0378,YC_J0378,e_YC_J0378,RE_J0378,e_RE_J0378,MAG_J0378,e_MAG_J0378,n_J0378,e_n_J0378,AR_J0378,e_AR_J0378,PA_J0378,e_PA_J0378,XC_J0395,e_XC_J0395,YC_J0395,e_YC_J0395,RE_J0395,e_RE_J0395,MAG_J0395,e_MAG_J0395,n_J0395,e_n_J0395,AR_J0395,e_AR_J0395,PA_J0395,e_PA_J0395,XC_J0410,e_XC_J0410,YC_J0410,e_YC_J0410,RE_J0410,e_RE_J0410,MAG_J0410,e_MAG_J0410,n_J0410,e_n_J0410,AR_J0410,e_AR_J0410,PA_J0410,e_PA_J0410,XC_J0430,e_XC_J0430,YC_J0430,e_YC_J0430,RE_J0430,e_RE_J0430,MAG_J0430,e_MAG_J0430,n_J0430,e_n_J0430,AR_J0430,e_AR_J0430,PA_J0430,e_PA_J0430,XC_J0515,e_XC_J0515,YC_J0515,e_YC_J0515,RE_J0515,e_RE_J0515,MAG_J0515,e_MAG_J0515,n_J0515,e_n_J0515,AR_J0515,e_AR_J0515,PA_J0515,e_PA_J0515,XC_J0660,e_XC_J0660,YC_J0660,e_YC_J0660,RE_J0660,e_RE_J0660,MAG_J0660,e_MAG_J0660,n_J0660,e_n_J0660,AR_J0660,e_AR_J0660,PA_J0660,e_PA_J0660,XC_J0861,e_XC_J0861,YC_J0861,e_YC_J0861,RE_J0861,e_RE_J0861,MAG_J0861,e_MAG_J0861,n_J0861,e_n_J0861,AR_J0861,e_AR_J0861,PA_J0861,e_PA_J0861,XC_G,e_XC_G,YC_G,e_YC_G,RE_G,e_RE_G,MAG_G,e_MAG_G,n_G,e_n_G,AR_G,e_AR_G,PA_G,e_PA_G,XC_I,e_XC_I,YC_I,e_YC_I,RE_I,e_RE_I,MAG_I,e_MAG_I,n_I,e_n_I,AR_I,e_AR_I,PA_I,e_PA_I,XC_Z,e_XC_Z,YC_Z,e_YC_Z,RE_Z,e_RE_Z,MAG_Z,e_MAG_Z,n_Z,e_n_Z,AR_Z,e_AR_Z,PA_Z,e_PA_Z,XC_U,e_XC_U,YC_U,e_YC_U,RE_U,e_RE_U,MAG_U,e_MAG_U,n_U,e_n_U,AR_U,e_AR_U,PA_U,e_PA_U,ID_gal,ra_2,dec_2,z,Norder_,Dir_,Npix_,ID_2,RA_2a,DEC_2a,Field,X,Y,THETA,A,B,ELONGATION,ELLIPTICITY,FLUX_RADIUS_50,FLUX_RADIUS_90,r_auto,e_r_auto,g_auto,e_g_auto,i_auto,e_i_auto,z_auto,e_z_auto,u_auto,e_u_auto,J0378_auto,e_J0378_auto,J0395_auto,e_J0395_auto,J0410_auto,e_J0410_auto,J0430_auto,e_J0430_auto,J0515_auto,e_J0515_auto,J0660_auto,e_J0660_auto,J0861_auto,e_J0861_auto,_dist_arcsec
MorphoSPLUS_1013,MorphoSPLUS_1013_GalfitM_output.csv,1.195,DR4_3_SPLUS-s02s11_0044195,1375_6875_SPLUS-s02s11,234.7992,0.0076,455.258,0.0077,6.8432,0.6219,16.7391,0.0406,8.0489,0.4355,0.6839,0.0135,0.3868,1.5726,234.7992,0.0076,455.258,0.0077,3.2404,1.1272,19.748,0.2711,5.6235,0.8364,0.6594,0.0345,2.774,4.1125,234.7992,0.0076,455.258,0.0077,3.4865,1.0729,18.9161,0.2141,5.7893,0.8032,0.6611,0.033,2.6109,3.9269,234.7992,0.0076,455.258,0.0077,3.7095,1.0249,19.9019,0.4205,5.9394,0.7735,0.6626,0.0316,2.4632,3.7593,234.7992,0.0076,455.258,0.0077,3.9963,0.9651,18.8037,0.172,6.1324,0.7360,0.6646,0.0298,2.2732,3.5448,234.7992,0.0076,455.258,0.0077,5.2141,0.746,17.3543,0.0739,6.9522,0.5866,0.6728,0.0225,1.4662,2.6521,234.7992,0.0076,455.258,0.0077,7.3587,0.6419,16.4932,0.0386,8.3959,0.4086,0.6874,0.0112,0.0452,1.3064,234.7992,0.0076,455.258,0.0077,10.2506,1.122,15.8254,0.0449,*10.3426*,*0.5222*,0.707,0.0147,-1.8709,1.8547,234.7992,0.0076,455.258,0.0077,4.6609,0.8369,17.8116,0.0899,6.5798,0.6520,0.6691,0.0258,1.8328,3.0531,234.7992,0.0076,455.258,0.0077,8.9169,0.8484,16.1707,0.0402,9.4448,0.4180,0.698,0.0094,-0.9872,1.1697,234.7992,0.0076,455.258,0.0077,10.5691,1.1938,15.8216,0.0451,*10.5571*,*0.5555*,0.7092,0.0164,-2.082,2.0632,234.7992,0.0076,455.258,0.0077,2.9015,1.2039,19.8079,0.2234,5.3954,0.8827,0.6571,0.0366,2.9986,4.369,166730,338.900667974,-1.12175076,0.0893286,0,0,4,DR4_3_SPLUS-s02s11_0044195,338.9006653240578,-1.1217190668995738,SPLUS-s02s11,1334.8147,7055.151,-87.39008,6.0693495E-4,5.014936E-4,1.2101805,0.17367697,3.3923774,10.876364,17.111675,0.024734708,17.996653,0.06311607,16.647821,0.018492796,16.37846,0.021655368,19.820477,0.29082707,20.367764,0.86006653,18.657337,0.27866518,19.733095,0.7924776,19.195095,0.46445125,17.560694,0.08603321,16.966148,0.02306551,16.432793,0.02920925,0.1144931379440997
MorphoSPLUS_1013,MorphoSPLUS_1013_GalfitM_output.csv,1.178,DR4_3_SPLUS-s02s11_0029322,1925_6875_SPLUS-s02s11,344.7588,0.0059,288.6674,0.0057,30.4004,1.0588,14.7138,0.0214,5.7690,0.0811,0.9115,0.0058,-82.8702,2.1532,344.7588,0.0059,288.6674,0.0057,33.3863,2.5115,17.1272,0.0877,5.8106,0.1938,0.9116,0.0142,-60.0187,5.3074,344.7588,0.0059,288.6674,0.0057,33.1823,2.4072,17.0001,0.1109,5.8078,0.1857,0.9116,0.0136,-61.58,5.0794,344.7588,0.0059,288.6674,0.0057,32.9974,2.313,16.994,0.1134,5.8052,0.1783,0.9116,0.013,-62.9945,4.8736,344.7588,0.0059,288.6674,0.0057,32.7598,2.1924,16.7116,0.0824,5.8019,0.1689,0.9116,0.0123,-64.8131,4.61,344.7588,0.0059,288.6674,0.0057,31.7505,1.688,15.2943,0.0347,5.7878,0.1296,0.9115,0.0094,-72.5374,3.51,344.7588,0.0059,288.6674,0.0057,29.9732,0.8867,14.5301,0.0187,5.7630,0.0682,0.9114,0.0048,-86.1399,1.7947,344.7588,0.0059,288.6674,0.0057,27.5766,0.8943,14.0069,0.0186,5.7296,0.0741,0.9113,0.0056,-104.4818,2.0839,344.7588,0.0059,288.6674,0.0057,32.209,1.9151,15.6441,0.0354,5.7942,0.1473,0.9116,0.0107,-69.0288,4.0049,344.7588,0.0059,288.6674,0.0057,28.6819,0.6283,14.2637,0.0135,5.7450,0.0515,0.9113,0.0037,-96.0227,1.3838,344.7588,0.0059,288.6674,0.0057,27.3126,0.9988,13.9651,0.0206,5.7259,0.0824,0.9112,0.0062,-106.5024,2.3252,344.7588,0.0059,288.6674,0.0057,33.6671,2.6556,17.8565,0.0963,5.8145,0.2051,0.9117,0.015,-57.8694,5.6222,166720,338.799828396,-1.147186921,0.0898598,0,0,4,DR4_3_SPLUS-s02s11_0029322,338.7999119748997,-1.1471784148634991,SPLUS-s02s11,1994.2765,6888.63,-7.852995,0.0018302927,0.0013494217,1.3564116,0.26276064,12.570977,35.42602,15.200085,0.0126618985,16.093914,0.03296323,14.730661,0.00941097,14.422865,0.010688151,17.883503,0.14846146,17.63427,0.20969829,18.422266,0.67468643,17.497723,0.30428988,16.892435,0.16817617,15.766898,0.049680535,15.021666,0.011523572,14.494872,0.014596247,0.3023782890028647
MorphoSPLUS_1013,MorphoSPLUS_1013_GalfitM_output.csv,1.178,DR4_3_SPLUS-s02s11_0028825,1925_6875_SPLUS-s02s11,276.8476,0.0071,295.639,0.01,5.1913,0.1968,17.0739,0.0276,3.6213,0.1314,0.47,0.0091,-27.8595,0.7027,276.8476,0.0071,295.639,0.01,4.9338,0.5154,19.3962,0.1828,3.2358,0.3435,0.4802,0.0227,-29.576,1.7522,276.8476,0.0071,295.639,0.01,4.9514,0.4919,19.6517,0.3298,3.2621,0.3279,0.4795,0.0217,-29.4587,1.6763,276.8476,0.0071,295.639,0.01,4.9673,0.4707,19.0835,0.207,3.2860,0.3139,0.4789,0.0208,-29.3524,1.6077,276.8476,0.0071,295.639,0.01,4.9878,0.4436,18.8438,0.1472,3.3167,0.2960,0.4781,0.0197,-29.2158,1.5199,276.8476,0.0071,295.639,0.01,5.0748,0.331,17.5472,0.0546,3.4470,0.2213,0.4746,0.0149,-28.6356,1.1536,276.8476,0.0071,295.639,0.01,5.2281,0.165,16.8819,0.0239,3.6765,0.1095,0.4686,0.0075,-27.6139,0.5846,276.8476,0.0071,295.639,0.01,5.4348,0.245,16.3134,0.0279,3.9859,0.1571,0.4604,0.0092,-26.2361,0.7027,276.8476,0.0071,295.639,0.01,5.0353,0.3815,17.9674,0.0553,3.3878,0.2548,0.4762,0.0171,-28.8992,1.3184,276.8476,0.0071,295.639,0.01,5.3395,0.1561,16.5857,0.0196,3.8432,0.0995,0.4641,0.006,-26.8715,0.4601,276.8476,0.0071,295.639,0.01,5.4575,0.2715,16.3034,0.0294,4.0200,0.1745,0.4595,0.0103,-26.0843,0.7841,276.8476,0.0071,295.639,0.01,4.9096,0.5479,19.9858,0.182,3.1995,0.3649,0.4812,0.0241,-29.7374,1.8571,166721,338.810198136,-1.146121833,0.0862417,0,0,4,DR4_3_SPLUS-s02s11_0028825,338.8102303762038,-1.146093019758804,SPLUS-s02s11,1926.7434,6895.722,-70.48346,6.726092E-4,4.279688E-4,1.5714629,0.3636502,3.806621,9.7995,17.16875,0.024594175,18.029076,0.061623774,16.710484,0.018492423,16.427967,0.021435188,19.57253,0.22168235,19.396696,0.3346897,18.997967,0.36119643,19.018618,0.3878537,19.190905,0.4384191,17.697325,0.09261208,17.043175,0.023452273,16.51315,0.029678738,0.1556440234952695
MorphoSPLUS_1013,MorphoSPLUS_1013_GalfitM_output.csv,1.161,DR4_3_SPLUS-s02s11_0043045,1925_7425_SPLUS-s02s11,420.6259,0.0082,33.8008,0.0065,6.5766,0.132,16.5503,0.0167,2.6445,0.0526,0.4389,0.005,-53.5912,0.4025,420.6259,0.0082,33.8008,0.0065,6.322,0.3554,19.1926,0.1661,2.1752,0.1422,0.4534,0.0127,-53.7571,0.9991,420.6259,0.0082,33.8008,0.0065,6.3394,0.339,18.7402,0.1658,2.2072,0.1356,0.4524,0.0121,-53.7458,0.956,420.6259,0.0082,33.8008,0.0065,6.3551,0.3241,20.2781,0.6769,2.2363,0.1296,0.4515,0.0116,-53.7355,0.9171,420.6259,0.0082,33.8008,0.0065,6.3754,0.3051,18.7001,0.143,2.2736,0.1220,0.4503,0.011,-53.7223,0.8673,420.6259,0.0082,33.8008,0.0065,6.4615,0.2262,17.135,0.0373,2.4323,0.0904,0.4454,0.0083,-53.6663,0.6593,420.6259,0.0082,33.8008,0.0065,6.6131,0.1098,16.3754,0.0145,2.7117,0.0436,0.4368,0.0042,-53.5675,0.3346,420.6259,0.0082,33.8008,0.0065,6.8175,0.1718,15.7736,0.017,3.0885,0.0683,0.4252,0.0051,-53.4343,0.3931,420.6259,0.0082,33.8008,0.0065,6.4224,0.2616,17.5712,0.0357,2.3602,0.1046,0.4477,0.0095,-53.6917,0.7529,420.6259,0.0082,33.8008,0.0065,6.7232,0.107,16.0836,0.0118,2.9147,0.0423,0.4306,0.0033,-53.4958,0.2584,420.6259,0.0082,33.8008,0.0065,6.84,0.1907,15.7779,0.0174,3.1300,0.0758,0.4239,0.0057,-53.4197,0.439,420.6259,0.0082,33.8008,0.0065,6.298,0.3781,19.8265,0.1696,2.1310,0.1512,0.4547,0.0135,-53.7727,1.0586,166719,338.788229701,-1.102110301,0.0889224,0,0,4,DR4_3_SPLUS-s02s11_0043045,338.78822449627467,-1.1020704367100962,SPLUS-s02s11,2070.704,7183.9136,-35.44193,8.0589944E-4,4.6059838E-4,1.7496904,0.4284703,4.543774,11.064344,16.688614,0.015209788,17.691135,0.042861316,16.216099,0.011323757,15.901522,0.012702202,19.707811,0.23681675,19.44178,0.32919383,18.769892,0.27720982,19.984814,0.8898335,18.23716,0.17225017,17.112665,0.051477212,16.539387,0.0142656,15.947775,0.01700663,0.1447289886978195
MorphoSPLUS_1013,MorphoSPLUS_1013_GalfitM_output.csv,1.148,DR4_3_SPLUS-s02s11_0042932,1925_7425_SPLUS-s02s11,101.8385,0.0199,101.0291,0.0347,6.7809,0.0637,18.2572,0.0154,0.8432,0.0138,0.5238,0.0042,1.516,0.4892,101.8385,0.0199,101.0291,0.0347,6.7169,0.1981,20.625,0.2595,0.6847,0.0414,0.5384,0.0127,0.9743,1.4209,101.8385,0.0199,101.0291,0.0347,6.7213,0.1878,20.1888,0.2956,0.6955,0.0393,0.5374,0.0121,1.0113,1.351,101.8385,0.0199,101.0291,0.0347,6.7252,0.1785,19.9544,0.2142,0.7053,0.0374,0.5365,0.0115,1.0448,1.2879,101.8385,0.0199,101.0291,0.0347,6.7303,0.1666,19.8466,0.1761,0.7179,0.0350,0.5354,0.0107,1.0879,1.2073,101.8385,0.0199,101.0291,0.0347,6.752,0.1177,18.5904,0.0465,0.7715,0.0249,0.5304,0.0077,1.271,0.8735,101.8385,0.0199,101.0291,0.0347,6.7901,0.0554,18.1637,0.0162,0.8659,0.0120,0.5217,0.0035,1.5935,0.4127,101.8385,0.0199,101.0291,0.0347,6.8415,0.1274,17.6395,0.0253,0.9932,0.0262,0.5099,0.0075,2.0283,0.8029,101.8385,0.0199,101.0291,0.0347,6.7421,0.1395,18.9931,0.0297,0.7472,0.0294,0.5327,0.0091,1.1879,1.0229,101.8385,0.0199,101.0291,0.0347,6.8178,0.0788,17.8295,0.0145,0.9345,0.0164,0.5153,0.0045,1.8278,0.4942,101.8385,0.0199,101.0291,0.0347,6.8472,0.1401,17.4543,0.0219,1.0072,0.0288,0.5086,0.0083,2.0762,0.8868,101.8385,0.0199,101.0291,0.0347,6.7109,0.2123,20.6874,0.158,0.6698,0.0444,0.5398,0.0136,0.9233,1.5176,166727,338.830981191,-1.105432651,0.0889511,0,0,4,DR4_3_SPLUS-s02s11_0042932,338.8310388058206,-1.1053380981601646,SPLUS-s02s11,1790.4935,7162.4727,89.32881,7.787676E-4,4.2187495E-4,1.8459053,0.45826042,5.113771,11.240877,17.486826,0.033505104,18.489113,0.09563112,17.127483,0.027525632,16.854588,0.032272007,20.542898,0.5438039,19.322643,0.31561434,19.128876,0.41356912,18.728971,0.30185556,18.769266,0.30277887,18.132092,0.14047734,17.383749,0.03243937,16.92277,0.043929733,0.3985847379250927
MorphoSPLUS_1013,MorphoSPLUS_1013_GalfitM_output.csv,1.231,DR4_3_SPLUS-s02s11_0028069,2475_6875_SPLUS-s02s11,267.9187,0.0037,76.4193,0.0038,7.9005,0.1636,15.5892,0.0142,4.0758,0.0560,0.9398,0.006,-31.4826,3.1471,267.9187,0.0037,76.4193,0.0038,8.3043,0.4158,18.1033,0.0891,3.7823,0.1437,0.9279,0.0153,-11.7438,8.6669,267.9187,0.0037,76.4193,0.0038,8.2767,0.3975,18.0702,0.126,3.8023,0.1373,0.9287,0.0146,-13.0925,8.2588,267.9187,0.0037,76.4193,0.0038,8.2517,0.3809,17.8581,0.1084,3.8205,0.1315,0.9294,0.014,-14.3143,7.8905,267.9187,0.0037,76.4193,0.0038,8.2195,0.3597,17.4696,0.0699,3.8439,0.1241,0.9304,0.0132,-15.8851,7.4193,267.9187,0.0037,76.4193,0.0038,8.083,0.2714,16.126,0.0262,3.9431,0.0933,0.9344,0.01,-22.5573,5.4632,267.9187,0.0037,76.4193,0.0038,7.8427,0.1362,15.4238,0.0124,4.1178,0.0468,0.9415,0.005,-34.3069,2.6221,267.9187,0.0037,76.4193,0.0038,7.5185,0.177,14.919,0.014,4.3534,0.0643,0.9511,0.0065,-50.1503,4.374,267.9187,0.0037,76.4193,0.0038,8.145,0.3111,16.5289,0.0261,3.8980,0.1071,0.9326,0.0114,-19.5267,6.3405,267.9187,0.0037,76.4193,0.0038,7.668,0.1141,15.1541,0.0096,4.2447,0.0414,0.9467,0.0042,-42.8435,2.7039,267.9187,0.0037,76.4193,0.0038,7.4828,0.1971,14.8979,0.015,4.3793,0.0714,0.9522,0.0073,-51.8957,4.8495,267.9187,0.0037,76.4193,0.0038,8.3422,0.4412,18.4994,0.0764,3.7547,0.1526,0.9267,0.0162,-9.8873,9.2311,166717,338.727535728,-1.17964399,0.0890336,0,0,4,DR4_3_SPLUS-s02s11_0028069,338.72756357230264,-1.1796073362741055,SPLUS-s02s11,2467.8147,6676.4414,75.261345,0.001000354,8.6089096E-4,1.1619986,0.13941377,6.1352925,16.160614,15.780951,0.010386081,16.66742,0.026492115,15.336786,0.007942536,15.058344,0.009212595,18.400429,0.111286744,18.053692,0.14388272,18.02413,0.2190496,17.630556,0.16093543,17.728891,0.17053066,16.31521,0.039125524,15.611695,0.009596574,15.138745,0.012677428,0.1656967108708012
MorphoSPLUS_1013,MorphoSPLUS_1013_GalfitM_output.csv,1.169,DR4_3_SPLUS-s02s11_0039502,2475_7975_SPLUS-s02s11,429.0515,0.0206,449.5023,0.0097,6.0914,0.1607,17.5245,0.0266,1.8878,0.0658,0.2857,0.0062,70.0774,0.5042,429.0515,0.0206,449.5023,0.0097,4.7032,0.4452,21.9239,1.4993,1.2672,0.1799,0.3393,0.0145,71.788,1.16,429.0515,0.0206,449.5023,0.0097,4.7981,0.424,19.7052,0.3038,1.3096,0.1715,0.3356,0.0139,71.6711,1.1135,429.0515,0.0206,449.5023,0.0097,4.884,0.4048,20.247,0.5164,1.3480,0.1640,0.3323,0.0134,71.5652,1.0715,429.0515,0.0206,449.5023,0.0097,4.9945,0.3803,19.981,0.3551,1.3974,0.1544,0.328,0.0127,71.4291,1.0177,429.0515,0.0206,449.5023,0.0097,5.4637,0.2789,18.3082,0.0772,1.6072,0.1142,0.3099,0.0098,70.8509,0.7917,429.0515,0.0206,449.5023,0.0097,6.29,0.1353,17.3518,0.0258,1.9766,0.0541,0.278,0.0052,69.8326,0.4217,429.0515,0.0206,449.5023,0.0097,7.4042,0.2363,16.5363,0.0243,2.4746,0.0849,0.2351,0.0046,68.4597,0.3463,429.0515,0.0206,449.5023,0.0097,5.2506,0.3243,18.7524,0.0685,1.5119,0.1323,0.3182,0.0111,71.1135,0.8937,429.0515,0.0206,449.5023,0.0097,6.8903,0.1474,16.9009,0.018,2.2449,0.0517,0.2549,0.0033,69.0929,0.2618,429.0515,0.0206,449.5023,0.0097,7.5269,0.2612,16.4495,0.0297,2.5295,0.0945,0.2303,0.0051,68.3084,0.3898,429.0515,0.0206,449.5023,0.0097,4.5727,0.4746,20.6199,0.2674,1.2088,0.1914,0.3443,0.0153,71.9488,1.2241,167570,338.702880923,-0.954564848,0.08837,0,0,4,DR4_3_SPLUS-s02s11_0039502,338.7028956040321,-0.9545701663067124,SPLUS-s02s11,2628.9868,8149.5215,17.954908,7.400868E-4,3.1781767E-4,2.3285434,0.570547,3.7995863,10.38114,17.629768,0.033257823,18.813644,0.11151883,17.106804,0.023677908,16.666752,0.023720449,21.18948,1.0032384,21.716558,2.5186021,19.256483,0.4078351,19.852224,0.7371158,19.821274,0.69185895,18.126175,0.12082285,17.501883,0.031457115,16.776737,0.033473834,0.0562058203155204
MorphoSPLUS_1013,MorphoSPLUS_1013_GalfitM_output.csv,1.458,DR4_3_SPLUS-s02s11_0027431,3025_6325_SPLUS-s02s11,102.0364,0.0153,102.106,0.015,11.6142,0.787,16.5392,0.0536,4.8710,0.1756,0.9296,0.0173,-17.7671,9.7037,102.0364,0.0153,102.106,0.015,8.7658,2.2919,18.6778,0.2433,4.0661,0.5123,0.9933,0.0438,66.768,21.6955,102.0364,0.0153,102.106,0.015,8.9604,2.1753,18.9659,0.3605,4.1211,0.4871,0.989,0.0419,60.9919,20.8541,102.0364,0.0153,102.106,0.015,9.1367,2.0701,18.4343,0.2613,4.1709,0.4644,0.9851,0.0401,55.7594,20.0933,102.0364,0.0153,102.106,0.015,9.3634,1.9359,18.4083,0.2311,4.2350,0.4353,0.98,0.0379,49.0319,19.1172,102.0364,0.0153,102.106,0.015,10.3262,1.385,17.055,0.1052,4.5070,0.3149,0.9584,0.0286,20.4572,15.0076,102.0364,0.0153,102.106,0.015,12.0218,0.6945,16.3713,0.0469,4.9861,0.1473,0.9205,0.0143,-29.863,8.134,102.0364,0.0153,102.106,0.015,14.308,1.4676,15.8142,0.0572,5.6321,0.2863,0.8693,0.0184,-97.7153,5.4024,102.0364,0.0153,102.106,0.015,9.8889,1.6304,17.5271,0.1207,4.3835,0.3688,0.9682,0.0328,33.4364,16.8655,102.0364,0.0153,102.106,0.015,13.2536,0.9318,16.0903,0.0444,5.3342,0.1751,0.8929,0.0118,-66.4224,4.5729,102.0364,0.0153,102.106,0.015,14.5599,1.6097,15.7588,0.0592,5.7033,0.3165,0.8637,0.0205,-105.1903,6.1301,102.0364,0.0153,102.106,0.015,8.4979,2.4535,19.38,0.2639,3.9904,0.5471,0.9993,0.0465,74.7186,22.8558,166712,338.681070764,-1.191772393,0.091691,0,0,4,DR4_3_SPLUS-s02s11_0027431,338.68109809171176,-1.1917518311537598,SPLUS-s02s11,2771.9211,6596.995,44.137882,0.0011244894,8.2780235E-4,1.3584322,0.26385725,8.500298,23.440662,16.700096,0.032802507,17.636578,0.08873069,16.221535,0.024054939,15.981916,0.029101472,18.717945,0.20998982,18.00624,0.19323438,18.441446,0.44788226,17.786362,0.2583604,17.695642,0.2295897,17.10312,0.11087465,16.552477,0.030583797,15.93115,0.03537111,0.1231005401626517
MorphoSPLUS_1013,MorphoSPLUS_1013_GalfitM_output.csv,1.19,DR4_3_STRIPE82-0141_0006779,4675_2475_STRIPE82-0141,151.2142,0.0059,127.6657,0.0066,21.9659,2.4389,15.9275,0.0409,*13.4082*,*0.5434*,0.6573,0.006,-21.3546,0.7451,151.2142,0.0059,127.6657,0.0066,33.2018,4.5153,18.0633,0.0917,*14.1379*,*0.8412*,0.698,0.0158,-27.3133,2.1152,151.2142,0.0059,127.6657,0.0066,32.4341,4.3679,17.77,0.112,*14.0881*,*0.8155*,0.6952,0.0151,-26.9061,2.013,151.2142,0.0059,127.6657,0.0066,31.7386,4.2349,17.5929,0.0851,*14.0429*,*0.7926*,0.6927,0.0144,-26.5373,1.9209,151.2142,0.0059,127.6657,0.0066,30.8444,4.0644,17.3677,0.072,*13.9848*,*0.7639*,0.6894,0.0136,-26.0631,1.8031,151.2142,0.0059,127.6657,0.0066,27.0465,3.3502,16.3194,0.0471,*13.7381*,*0.6523*,0.6757,0.01,-24.0489,1.3147,151.2142,0.0059,127.6657,0.0066,20.3582,2.1703,15.779,0.0396,*13.3038*,*0.5228*,0.6515,0.0052,-20.502,0.6243,151.2142,0.0059,127.6657,0.0066,11.3397,1.2669,15.4829,0.0422,*12.7180*,*0.5679*,0.6188,0.0086,-15.7193,1.1383,151.2142,0.0059,127.6657,0.0066,28.7716,3.6723,16.7148,0.0454,*13.8502*,*0.7006*,0.6819,0.0116,-24.9638,1.5335,151.2142,0.0059,127.6657,0.0066,15.4989,1.4923,15.6009,0.0353,*12.9882*,*0.5134*,0.6339,0.0056,-17.925,0.7008,151.2142,0.0059,127.6657,0.0066,10.3461,1.289,15.4848,0.0473,*12.6535*,*0.5881*,0.6152,0.0094,-15.1924,1.2594,151.2142,0.0059,127.6657,0.0066,34.2586,4.7187,18.2701,0.0754,*14.2066*,*0.8773*,0.7018,0.0168,-27.8737,2.2564,166729,338.885205853,-1.184762718,0.0889956,0,0,4,DR4_3_STRIPE82-0141_0006779,338.8852137508788,-1.1847260692449548,STRIPE82-0141,4551.208,2327.647,-78.02291,6.663934E-4,6.135044E-4,1.0862484,0.07940024,3.8724773,11.392015,16.730043,0.011058104,17.670835,0.021834128,16.297703,0.010226687,16.01947,0.014400246,19.289387,0.14469753,18.914093,0.17365064,18.699764,0.22902164,18.285751,0.13055946,18.516287,0.14848307,17.229427,0.04285962,16.569265,0.012186943,16.017458,0.01945077,0.134963086276416
MorphoSPLUS_1013,MorphoSPLUS_1013_GalfitM_output.csv,1.158,DR4_3_STRIPE82-0141_0008562,5225_2475_STRIPE82-0141,503.2137,0.0049,459.9127,0.0047,6.9789,0.2694,16.0262,0.0193,8.5740,0.2078,0.8213,0.0055,-71.3522,1.2057,503.2137,0.0049,459.9127,0.0047,5.5819,0.7419,18.7867,0.102,7.1946,0.5714,0.7658,0.0159,-78.36,3.6092,503.2137,0.0049,459.9127,0.0047,5.6774,0.7032,18.3526,0.109,7.2889,0.5429,0.7696,0.0151,-77.8812,3.419,503.2137,0.0049,459.9127,0.0047,5.7638,0.6684,18.3245,0.0933,7.3743,0.5172,0.773,0.0144,-77.4474,3.2477,503.2137,0.0049,459.9127,0.0047,5.875,0.6242,17.9965,0.074,7.4840,0.4844,0.7775,0.0135,-76.8897,3.0292,503.2137,0.0049,459.9127,0.0047,6.3472,0.4451,16.6235,0.0361,7.9503,0.3505,0.7962,0.0097,-74.5209,2.1357,503.2137,0.0049,459.9127,0.0047,7.1787,0.2529,15.8335,0.0177,8.7714,0.1861,0.8292,0.0046,-70.3495,1.0961,503.2137,0.0049,459.9127,0.0047,8.3,0.5414,15.23,0.0267,9.8785,0.3674,0.8737,0.0092,-64.7247,2.5098,503.2137,0.0049,459.9127,0.0047,6.1327,0.5242,17.05,0.0409,7.7385,0.4100,0.7877,0.0114,-75.5969,2.5326,503.2137,0.0049,459.9127,0.0047,7.7829,0.359,15.4878,0.02,9.3679,0.2396,0.8532,0.0057,-67.3188,1.6044,503.2137,0.0049,459.9127,0.0047,8.4235,0.5891,15.1501,0.0279,*10.0005*,*0.4018*,0.8786,0.0101,-64.1051,2.7453,503.2137,0.0049,459.9127,0.0047,5.4505,0.7956,19.3086,0.1039,7.0649,0.6110,0.7606,0.0169,-79.0191,3.8727,166718,338.747389837,-1.134001803,0.0889277,0,0,4,DR4_3_STRIPE82-0141_0008562,338.74739331119014,-1.1339860733163365,STRIPE82-0141,5453.1465,2659.8096,-15.101896,8.217877E-4,6.9826643E-4,1.1768686,0.15028745,4.3683643,13.68293,16.36011,0.008649047,17.323408,0.017333616,15.882752,0.0076940805,15.545551,0.0102335485,20.19857,0.362016,19.109417,0.22638683,18.70969,0.25155196,18.940264,0.2582731,18.81227,0.21136212,16.911356,0.034832533,16.173393,0.009332677,15.650734,0.015191688,0.0579910967314384
